Name,Unit,Expression,Value,Comments,Favorite
FrameLong,mm,75 mm,75.00,Base steel dimension for entire machine,true
FrameShort,mm,50 mm,50.00,Base steel dimension for entire machine,true
FrameThick,mm,3 mm,3.00,Base steel dimension for entire machine,true
FrameRadius,mm,6 mm,6.00,Base steel dimension for entire machine,true
XFrameWidth,mm,FrameLong,75.00,XFrame specific dimension if different from base.,false
XFrameHeight,mm,FrameShort,50.00,XFrame specific dimension if different from base.,false
XFrameThick,mm,FrameThick,3.00,XFrame specific dimension if different from base.,false
XFrameRadius,mm,FrameRadius,6.00,XFrame specific dimension if different from base.,false
YFrameHeight,mm,FrameLong,75.00,YFrame specific dimension if different from base.,false
YFrameWidth,mm,FrameShort,50.00,YFrame specific dimension if different from base.,false
YFrameThick,mm,FrameThick,3.00,YFrame specific dimension if different from base.,false
YFrameRadius,mm,FrameRadius,6.00,YFrame specific dimension if different from base.,false
XCuttingArea,mm,625 mm,625.00,Set to desired Xaxis cutting area.,true
YCuttingArea,mm,625 mm,625.00,Set to desired Yaxis cutting area.,true
calcXFrameLength,mm,calcXRailLength + floor(( YFrameWidth + YRollerWidth + XRailtoYRollerLeftGap + XRailtoYRollerRightGap ) / 5) * 5,950.00,"Calculation parameter. Changes will cause design failures, alter at your own risk.",false
calcYFrameLength,mm,calcYRailLength + 150 mm,950.00,"Calculation parameter. Changes will cause design failures, alter at your own risk.",false
XFrameCount,,max(3; ceil(( calcYFrameLength - XFrameBackOffset - XFrameFrontOffset - XFrameWidth ) / ( 250 mm + XFrameWidth ))),3,Info: This can be changed to a set value if more or less XFrame tubing are desired.,true
calcXRailLength,mm,( SRF * ceil(( XCuttingArea + 65 mm + ( ( XCarriageCount * 50 ) * 1 mm ) ) / SRF) ),800.00,"Calculation parameter. Changes will cause design failures, alter at your own risk.",true
calcYRailLength,mm,( SRF * ceil(( YCuttingArea + 65 mm + ( ( YCarriageCount * 50 ) * 1 mm ) ) / SRF) ),800.00,"Calculation parameter. Changes will cause design failures, alter at your own risk.",true
XGantryHeight,mm,75 mm,75.00,XGantry specific dimension if different from base.,true
XGantryWidth,mm,75 mm,75.00,XGantry specific dimension if different from base.,true
XGantryThick,mm,4 mm,4.00,XGantry specific dimension if different from base.,true
XGantryRadius,mm,10 mm,10.00,XGantry specific dimension if different from base.,true
YRollerHeight,mm,FrameShort,50.00,YRoller specific dimension if different from base.,true
YRollerWidth,mm,max(FrameLong; XFrameWidth),75.00,YRoller specific dimension if different from base.,true
YRollerThick,mm,3 mm,3.00,Use 3mm thickness steel for 75mm roller width to prevent radius to bolt head conflict,true
YRollerRadius,mm,FrameRadius,6.00,YRoller specific dimension if different from base.,true
YRollerLength,mm,50 mm + ( YCarriageCount * 50 mm ),150.00,YRoller specific dimension if different from base.,true
XGantryOffset,mm,25 mm,25.00,Sets Gantry back from center of Y roller to allow addition of gusset bracket.,true
SRF,,25,25,"Steel Rounding Factor.  Set to 5, 10, 25, or 50 as desired.",true
